"동별","가구원수별","항목","단위","2020 년","2021 년","2022 년","2023 년","2024 년",
"무악동","일반가구","가구원수별 가구수 (동별) (2015년 이후)","가구","2883","","","","",
"무악동","1인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","494","","","","",
"무악동","2인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","792","","","","",
"무악동","3인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","744","","","","",
"무악동","4인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","657","","","","",
"무악동","5인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","169","","","","",
"무악동","6인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","20","","","","",
"무악동","7인이상가구","가구원수별 가구수 (동별) (2015년 이후)","가구","7","","","","",
"교남동","일반가구","가구원수별 가구수 (동별) (2015년 이후)","가구","4106","","","","",
"교남동","1인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","1219","","","","",
"교남동","2인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","1187","","","","",
"교남동","3인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","917","","","","",
"교남동","4인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","646","","","","",
"교남동","5인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","113","","","","",
"교남동","6인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","21","","","","",
"교남동","7인이상가구","가구원수별 가구수 (동별) (2015년 이후)","가구","X","","","","",
"가회동","일반가구","가구원수별 가구수 (동별) (2015년 이후)","가구","1733","","","","",
"가회동","1인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","631","","","","",
"가회동","2인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","468","","","","",
"가회동","3인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","343","","","","",
"가회동","4인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","228","","","","",
"가회동","5인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","45","","","","",
"가회동","6인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","13","","","","",
"가회동","7인이상가구","가구원수별 가구수 (동별) (2015년 이후)","가구","5","","","","",
"종로1.2.3.4가동","일반가구","가구원수별 가구수 (동별) (2015년 이후)","가구","3636","","","","",
"종로1.2.3.4가동","1인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","2371","","","","",
"종로1.2.3.4가동","2인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","770","","","","",
"종로1.2.3.4가동","3인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","274","","","","",
"종로1.2.3.4가동","4인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","163","","","","",
"종로1.2.3.4가동","5인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","41","","","","",
